,title,core_count,performance_core_clock,performance_core_boost_clock,microarchitecture,tdp,integrated_graphics,rating,price
373,AMD FX-8370,8,4,4.3,Piledriver,125,,4.5,257.01
374,AMD EPYC 4364P,8,4.5,5.4,Zen 4,105,Radeon,,389.99
375,Intel Core i5-3330,4,3,,Ivy Bridge,77,Intel HD Graphics 2500,4.5,
376,Intel Core i7-13700T,16,1.4,4.9,Raptor Lake,35,,4.0,
377,Intel Pentium Gold G6600,2,4.2,,Comet Lake,58,Intel UHD Graphics 630,,189.51
378,Intel Xeon E5-2697 V4,18,2.3,3.6,Broadwell,145,,,
379,AMD FX-8320,8,3.5,,Piledriver,125,,5.0,106.55
380,Intel Core i3-2120,2,3.3,,Sandy Bridge,65,Intel HD Graphics 2000,4.5,199.28
381,Intel Core i5-10600,6,3.3,4.8,Comet Lake,65,Intel UHD Graphics 630,4.5,529.95
382,Intel Xeon E5-2683 V4,16,2.1,3,Broadwell,120,,,329.95
383,Intel Core i5-8600K,6,3.6,4.3,Coffee Lake,95,Intel UHD Graphics 630,,
384,AMD 5350,4,2.05,,Jaguar,25,Radeon HD 8400,4.5,
385,AMD FX-6100,6,3.3,,Bulldozer,95,,4.5,72.80
386,Intel Core i7-7700T,4,2.9,3.8,Kaby Lake,35,Intel HD Graphics 630,4.0,498.95
387,Intel Core i5-4670,4,3.4,,Haswell,84,Intel HD Graphics 4600,4.5,118.22
388,AMD Ryzen 5 5600T,6,3.5,4.5,Zen 3,65,,,
389,Intel Core i7-9700F,8,3,4.7,Coffee Lake Refresh,65,,,279.00
390,Intel Core i7-3930K,6,3.2,,Sandy Bridge,130,,4.5,298.98
391,Intel Core i7-4820K,4,3.7,3.9,Ivy Bridge,130,,4.5,198.00
392,Intel Pentium Gold G5400,2,3.7,,Coffee Lake,58,Intel UHD Graphics 610,4.5,
393,Intel Core 2 Quad Q9300,4,2.5,,Yorkfield,95,,4.0,42.60
394,Intel Xeon E5-2680 V3,12,2.5,3.3,Haswell,120,,,
395,AMD A10-6700,4,3.7,,Piledriver,65,Radeon HD 8670D,,83.22
396,Intel Core i7-3770S,4,3.1,,Ivy Bridge,65,Intel HD Graphics 4000,4.5,70.00
397,Intel Core i7-6950X,10,3,3.5,Broadwell,140,,5.0,735.61
398,AMD Ryzen 9 3950X,16,3.5,4.7,Zen 2,105,,,
399,Intel Core i7-980X Extreme Edition,6,3.33,,Westmere,130,,5.0,
400,Intel Core i3-13100T,4,2.5,4.2,Raptor Lake,35,Intel UHD Graphics 730,,
401,Intel Core i5-13600,14,2.7,5,Raptor Lake,65,Intel UHD Graphics 770,,
402,Intel Core i9-9980XE,18,3,4.4,Skylake,165,,,1814.98
403,Intel Core i5-8400T,6,1.7,3.3,Coffee Lake,35,Intel UHD Graphics 630,,113.37
404,Intel Core i3-7320,2,4.1,,Kaby Lake,51,Intel HD Graphics 630,,59.00
405,AMD FX-4350,4,4.2,,Piledriver,125,,,55.05
406,Intel Core i5-9600KF,6,3.7,4.6,Coffee Lake Refresh,95,,5.0,344.99
407,Intel Core 2 Quad Q9550,4,2.83,,Yorkfield,95,,,52.55
408,Intel Xeon E5-2620 V3,6,2.4,3.2,Haswell,85,,,88.00
409,Intel Core i5-650,2,3.2,,Westmere,73,Intel HD Graphics,4.0,32.39
410,Intel Core i3-4160,2,3.6,,Haswell Refresh,54,Intel HD Graphics 4400,4.5,
411,AMD Athlon II 160u,1,1.8,,K10,20,,,
412,AMD Ryzen 5 PRO 7645,6,3.8,5.1,Zen 4,65,Radeon,,
413,Intel Xeon E5-2697 V2,12,2.7,3.5,Ivy Bridge,130,,,
414,AMD Ryzen 7 PRO 7745,8,3.8,5.3,Zen 4,65,Radeon,,
415,AMD A10-7850K,4,3.7,4,Steamroller,95,Radeon R7 (on-die),4.5,139.84
416,Intel Core i7-5820K,6,3.3,3.6,Haswell,140,,4.0,429.95
417,Intel Celeron G3900,2,2.8,,Skylake,51,Intel HD Graphics 510,,48.56
418,Intel Core i5-3450,4,3.1,,Ivy Bridge,77,Intel HD Graphics 2500,4.5,95.00
419,Intel Core i7-3820,4,3.6,,Sandy Bridge,130,,4.5,
420,Intel Core i7-8700T,6,2.4,4,Coffee Lake,35,Intel UHD Graphics 630,,285.38
421,AMD FX-4300,4,3.8,,Piledriver,95,,4.0,
422,Intel Core i7-4790S,4,3.2,4,Haswell Refresh,65,Intel HD Graphics 4000,5.0,
423,Intel Xeon E5-2680,8,2.7,3.5,Sandy Bridge,130,,4.5,110.00
424,Intel Xeon E5-1620 V2,4,3.7,3.9,Ivy Bridge,130,,5.0,
425,Intel Xeon E5-2640 V4,10,2.4,3.4,Broadwell,90,,,
426,Intel Core i5-3470S,4,2.9,,Ivy Bridge,65,Intel HD Graphics 2500,,44.99
427,AMD A10-5700,4,3.4,,Piledriver,65,Radeon HD 7660D,,72.51
428,Intel Core i7-860,4,2.8,,Nehalem,95,,4.0,203.98
429,Intel Core i3-8350K,4,4,,Coffee Lake,91,Intel UHD Graphics 630,4.5,
430,AMD A8-9600,4,3.1,3.4,Excavator,65,Radeon R7 (on-die),,
431,Intel Core i9-10850KA Avengers Limited Edition,10,3.6,5.2,Comet Lake,125,Intel UHD Graphics 630,,
432,AMD Ryzen 7 1700X,8,3.4,3.8,Zen,95,,4.0,
433,Intel Core i7-870,4,2.93,,Nehalem,95,,4.0,48.59
434,Intel Core 2 Quad Q6600,4,2.4,,Core,100,,3.5,
435,Intel Core i7-6700T,4,2.8,3.6,Skylake,35,Intel HD Graphics 530,,
436,Intel Core i3-8100T,4,3.1,,Coffee Lake,35,Intel UHD Graphics 630,,
437,AMD EPYC 4584PX,16,4.2,5.7,Zen 4,120,Radeon,,
438,Intel Core i7-4770K,4,3.5,3.9,Haswell,84,Intel HD Graphics 4600,5.0,300.00
439,Intel Xeon E5-2650,8,2,2.8,Sandy Bridge,95,,5.0,69.94
440,Intel Core i5-4430,4,3,,Haswell,84,Intel HD Graphics 4600,4.5,
441,Intel Core i5-6402P,4,2.8,3.4,Skylake,65,Intel HD Graphics 510,3.5,74.02
442,Intel Xeon E-2288G,8,3.7,5,Coffee Lake Refresh,95,Intel HD Graphics P630,,
443,AMD FX-6120,6,3.5,4.1,Bulldozer,95,,,58.53
444,Intel Core i5-4570T,2,2.9,,Haswell,35,Intel HD Graphics 4600,3.0,70.81
445,Intel Core i5-3550,4,3.3,,Ivy Bridge,77,Intel HD Graphics 2500,4.0,335.00
446,Intel Core i5-2320,4,3,,Sandy Bridge,95,Intel HD Graphics 2000,4.0,
447,Intel Core i3-530,2,2.93,,Westmere,73,Intel HD Graphics,3.0,45.00
448,Intel Core i5-9500T,6,2.2,3.7,Coffee Lake Refresh,35,Intel UHD Graphics 630,,
449,AMD A8-7680,4,3.5,3.8,Puma+,65,Radeon R7 (on-die),,
450,AMD FX-8350,8,4,,Piledriver,125,,4.5,192.49
451,AMD A10-7700K,4,3.4,3.8,Steamroller,95,Radeon R7 (on-die),4.5,132.86
452,AMD Ryzen 7 PRO 7745,8,3.8,5.3,Zen 4,65,Radeon,,
453,Intel Core i3-2120T,2,2.6,,Sandy Bridge,35,Intel HD Graphics 2000,5.0,40.00
454,Intel Pentium Gold G6405,2,4.1,,Comet Lake,58,Intel UHD Graphics 610,,99.99
455,Intel Core i7-3970X Extreme Edition,6,3.5,,Sandy Bridge,150,,5.0,175.00
456,Intel Xeon E3-1231 V3,4,3.4,3.8,Haswell Refresh,80,,4.5,
457,Intel Core i7-10700K Avengers Collector\\\'s Edition,8,3.8,5.1,Comet Lake,125,Intel UHD Graphics 630,,741.00
458,Intel Core i5-4690,4,3.5,3.9,Haswell Refresh,84,Intel HD Graphics 4600,,48.59
459,AMD A6-7400K,2,3.5,3.9,Steamroller,65,Radeon R5 (on die),4.0,89.98
460,Intel Core i5-7600K,4,3.8,4.2,Kaby Lake,91,Intel HD Graphics 630,,
461,AMD Ryzen 3 2200G,4,3.5,3.7,Zen,65,Radeon Vega 8,,
462,AMD Phenom II X4 820,4,2.8,,K10,95,,,52.64
463,Intel Xeon E3-1270 V3,4,3.5,3.9,Haswell,80,,,410.00
464,Intel Core i7-2600S,4,2.8,,Sandy Bridge,65,Intel HD Graphics 2000,5.0,99.99
465,Intel Core i3-3240,2,3.4,,Ivy Bridge,55,Intel HD Graphics 2500,4.0,199.00
466,AMD A10-7800,4,3.5,3.9,Steamroller,65,Radeon R7 (on-die),,
467,Intel Xeon E5-2697 V3,14,2.6,3.6,Haswell,145,,5.0,
468,Intel Core i9-7980XE,18,2.6,4.4,Skylake,165,,,1249.95
469,Intel Core i7-5775C,4,3.3,3.7,Broadwell,65,Iris Pro Graphics 6200,5.0,
470,Intel Core i5-4690K,4,3.5,3.9,Haswell Refresh,88,Intel HD Graphics 4600,5.0,
471,Intel Core i7-9800X,8,3.8,4.5,Skylake,165,,,
472,Intel Core i7-4770K,4,3.5,3.9,Haswell,84,Intel HD Graphics 4600,,115.00
473,Intel Core i5-750,4,2.66,,Nehalem,95,,4.5,86.28
474,AMD Phenom II X4 965 Black,4,3.4,,K10,125,,4.5,
475,AMD A8-5600K,4,3.6,,Piledriver,100,Radeon HD 7560D,4.0,184.28
476,Intel Xeon E5-2620 V4,8,2.1,3,Broadwell,85,,5.0,
477,AMD FX-6350,6,3.9,,Piledriver,125,,4.5,
478,Intel Core i5-760,4,2.8,,Nehalem,95,,5.0,32.39
479,Intel Core i3-9100T,4,3.1,3.7,Coffee Lake Refresh,35,Intel UHD Graphics 630,,
480,Intel Core i9-9900X,10,3.5,4.4,Skylake,165,,,579.99
481,Intel Core 2 Quad Q9650,4,3,,Yorkfield,95,,5.0,
482,Intel Core i5-2310,4,2.9,,Sandy Bridge,95,Intel HD Graphics 2000,4.5,
483,Intel Core i5-7500,4,3.4,3.8,Kaby Lake,65,Intel HD Graphics 630,,
484,Intel Pentium G2120,2,3.1,,Ivy Bridge,55,Intel HD Graphics,4.0,35.00
485,AMD FX-9370,8,4.4,4.7,Piledriver,220,,4.0,216.59
486,Intel Core 2 Duo E7500,2,2.93,,Wolfdale,65,,4.5,149.00
487,Intel Core i7-990X Extreme Edition,6,3.467,,Westmere,130,,4.0,
488,AMD A10-6800K,4,4.1,,Piledriver,100,Radeon HD 8670D,4.5,
489,Intel Core i5-4590S,4,3,3.7,Haswell Refresh,65,Intel HD Graphics 4000,4.5,
490,Intel Core i5-9500F,6,3,4.4,Coffee Lake Refresh,65,,,
491,AMD Athlon X4 860K,4,3.7,4,Steamroller,95,,4.5,
492,Intel Core i5-6400,4,2.7,3.3,Skylake,65,Intel HD Graphics 530,4.5,
493,Intel Core 2 Extreme QX9770,4,3.2,,Yorkfield,136,,5.0,
494,AMD FX-8320E,8,3.2,4,Piledriver,95,,4.5,
495,Intel Core i5-9400,6,2.9,4.1,Coffee Lake Refresh,65,Intel UHD Graphics 630,,
496,Intel Pentium G3258,2,3.2,,Haswell Refresh,53,Intel HD Graphics,4.5,124.99
497,Intel Xeon E5-2690 V3,12,2.6,3.5,Haswell,135,,5.0,
498,Intel Core i9-9960X,16,3.1,4.4,Skylake,165,,,999.99
499,Intel Celeron G3930,2,2.9,,Kaby Lake,51,Intel HD Graphics 610,4.5,54.33
500,Intel Pentium G2020,2,2.9,,Ivy Bridge,55,Intel HD Graphics,4.5,34.99
501,AMD A10-6700,4,3.7,,Piledriver,65,Radeon HD 8670D,5.0,102.76
502,AMD A6-9500E,2,3,3.4,Excavator,35,Radeon R5 (on die),,
503,Intel Core i3-9350KF,4,4,4.6,Coffee Lake Refresh,91,,4.0,136.06
504,Intel Core i9-9820X,10,3.3,4.1,Skylake,165,,4.5,
505,Intel Core i3-10300,4,3.7,4.4,Comet Lake,65,Intel UHD Graphics 630,5.0,159.99
506,Intel Celeron G3930T,2,2.7,,Kaby Lake,35,Intel HD Graphics 610,,39.00
507,Intel Celeron G4900,2,3.1,,Coffee Lake,65,Intel UHD Graphics 610,4.5,72.55
508,Intel Xeon E3-1230 V2,4,3.3,,Ivy Bridge,69,,5.0,274.00
509,Intel Core i5-6500T,4,2.5,3.1,Skylake,35,Intel HD Graphics 530,,229.95
510,Intel Celeron G440,1,1.6,,Sandy Bridge,35,Intel HD Graphics,,
511,Intel Xeon E5-2650 V2,8,2.6,3.4,Ivy Bridge,95,,5.0,
512,Intel Xeon E3-1230 V3,4,3.3,3.7,Haswell,80,,4.5,309.00
513,AMD Athlon II X4 630,4,2.8,,K10,95,,,48.04
514,AMD A10-7890K,4,4.1,4.3,Steamroller,95,Radeon R7 (on-die),4.5,
515,Intel Xeon E5-1620 V4,4,3.5,3.8,Broadwell,140,,,232.12
516,Intel Pentium E5400,2,2.7,,Wolfdale,65,,4.0,
517,Intel Core i5-2300,4,2.8,,Sandy Bridge,95,Intel HD Graphics 2000,4.5,
518,Intel Pentium G3220,2,3,,Haswell,54,Intel HD Graphics,4.5,
519,Intel Xeon E5-2690 V2,10,3,3.6,Ivy Bridge,130,,5.0,
520,Intel Xeon E5-1660 V3,8,3,3.5,Haswell,140,,5.0,204.44
521,Intel Xeon E5-2630,6,2.3,,Sandy Bridge,95,,,47.66
522,Intel Xeon E5-1620 V3,4,3.5,3.6,Haswell,140,,4.0,111.00
523,Intel Core i3-7100,2,3.9,,Kaby Lake,51,Intel HD Graphics 630,,76.77
524,AMD Phenom II X6 1100T Black,6,3.3,,K10,125,,4.0,
525,Intel Xeon E5-1650 V2,6,3.5,3.9,Ivy Bridge,130,,4.0,235.03
526,Intel Core i3-6100T,2,3.2,,Skylake,35,Intel HD Graphics 530,,
527,Intel Xeon E3-1240L V5,4,2.1,3.2,Skylake,25,,,
528,Intel Celeron 430,1,1.8,,Core,35,,,59.95
529,Intel Xeon E5-2660 V3,10,2.6,3.3,Haswell,105,,,149.94
530,AMD Ryzen 3 1200 (12nm),4,3.1,3.4,Zen+,65,,,
531,Intel Core i7-950,4,3.06,,Nehalem,130,,4.5,84.15
532,Intel Pentium G645,2,2.9,,Sandy Bridge,65,Intel HD Graphics 2500,,40.99
533,Intel Xeon E5-2660 V4,14,2,3.2,Broadwell,105,,5.0,399.00
534,Intel Core i7-3960X Extreme Edition,6,3.3,,Sandy Bridge,130,,5.0,250.00
535,Intel Core i5-6500T,4,2.5,3.1,Skylake,35,Intel HD Graphics 530,5.0,
536,Intel Core i9-9920X,12,3.5,4.4,Skylake,165,,,
537,AMD Athlon X4 950,4,3.5,3.8,Excavator,65,,3.5,
538,AMD A10-5800K,4,3.8,,Piledriver,100,Radeon HD 7660D,4.5,
539,Intel Core 2 Extreme QX9775,4,3.2,,Yorkfield,150,,,1298.00
540,AMD Athlon X2 370K,2,4.2,,Piledriver,65,,,
541,AMD FX-9590,8,4.7,5,Piledriver,220,,5.0,
542,Intel Core i5-6600,4,3.3,3.9,Skylake,65,Intel HD Graphics 530,,
543,Intel Core i5-7640X,4,4,4.2,Kaby Lake,112,,,603.08
544,Intel Core i7-960,4,3.2,,Nehalem,130,,5.0,150.00
545,AMD FX-8370,8,4,4.3,Piledriver,125,,4.5,293.33
546,Intel Pentium Gold G5420,2,3.8,,Coffee Lake,54,Intel UHD Graphics 610,,
547,Intel Core i3-6100,2,3.7,,Skylake,51,Intel HD Graphics 530,,98.95
548,Intel Core i5-2400S,4,2.5,,Sandy Bridge,65,Intel HD Graphics 2000,,150.69
549,Intel Core i5-7400,4,3,3.5,Kaby Lake,65,Intel HD Graphics 630,,184.60
550,AMD A8-5500,4,3.2,,Piledriver,65,Radeon HD 7560D,4.0,
551,Intel Core i5-4570S,4,2.9,,Haswell,65,Intel HD Graphics 4600,4.5,
552,Intel Xeon E5-1650 V3,6,3.5,3.8,Haswell,140,,,
553,Intel Xeon E3-1245 V5,4,3.5,3.9,Skylake,80,Intel HD Graphics P530,,
554,Intel Core i9-10850K,10,3.6,5.2,Comet Lake,125,Intel UHD Graphics 630,5.0,
555,Intel Core 2 Quad Q9400,4,2.66,,Yorkfield,95,,4.0,
556,Intel Core i5-5675C,4,3.1,3.6,Broadwell,65,Iris Pro Graphics 6200,5.0,
557,AMD A12-9800,4,3.8,4.2,Excavator,65,Radeon R7 (on-die),,
558,Intel Core i3-10100T,4,3,3.8,Comet Lake,35,Intel UHD Graphics 630,,
559,AMD A12-9800E,4,3.1,3.8,Excavator,35,Radeon R7 (on-die),,142.82
560,Intel Core i3-8100,4,3.6,,Coffee Lake,65,Intel UHD Graphics 630,,124.90
561,AMD FX-8150,8,3.6,,Bulldozer,125,,4.5,
562,AMD 5150,4,1.6,,Jaguar,25,Radeon HD 8400,3.0,
563,Intel Core i7-9700T,8,2,4.3,Coffee Lake Refresh,35,Intel HD Graphics 630,,
564,Intel Core i5-9600K,6,3.7,4.6,Coffee Lake Refresh,95,Intel UHD Graphics 630,,
565,Intel Pentium E5300,2,2.6,,Wolfdale,65,,3.5,86.24
566,Intel Pentium G3420,2,3.2,,Haswell,54,Intel HD Graphics,4.5,71.73
567,Intel Core i5-8500,6,3,4.1,Coffee Lake,65,Intel UHD Graphics 630,,139.00
568,Intel Xeon E5-2650 V3,10,2.3,3,Haswell,105,,,
569,Intel Core i7-7800X,6,3.5,4,Skylake,140,,,329.95
570,AMD Phenom II X4 945,4,3,,K10,125,,,
571,Intel Core 2 Duo E8600,2,3.33,,Wolfdale,65,,,
572,AMD FX-8120,8,3.1,,Bulldozer,125,,4.0,
573,Intel Xeon E5-2667 V2,8,3.3,4,Ivy Bridge,130,,,
574,Intel Core i5-8600T,6,2.3,3.7,Coffee Lake,35,Intel UHD Graphics 630,4.0,
575,Intel Core i9-9900,8,3.1,5,Coffee Lake Refresh,65,Intel UHD Graphics 630,4.0,
576,Intel Celeron 440,1,2,,Core,35,,,49.99
577,Intel Core 2 Quad Q9550,4,2.83,,Yorkfield,95,,4.5,165.51
578,Intel Core i5-7600,4,3.5,4.1,Kaby Lake,65,Intel HD Graphics 630,,
579,AMD Phenom II X4 980 Black,4,3.7,,K10,125,,5.0,
580,AMD A10-7860k,4,3.6,4,Steamroller,65,Radeon R7 (on-die),4.5,
581,Intel Pentium Gold G5400T,2,3.1,,Coffee Lake,35,Intel UHD Graphics 610,4.0,90.00
582,AMD A4-6300B,2,3.7,3.9,Piledriver,65,Radeon HD 8370D,,49.95
583,Intel Celeron G4930,2,3.2,,Coffee Lake,54,Intel UHD Graphics 610,,
584,AMD A10-7870K,4,3.9,4.1,Steamroller,95,Radeon R7 (on-die),4.5,324.60
585,Intel Xeon E5-2630 V2,6,2.6,3.1,Ivy Bridge,80,,,488.88
586,Intel Core i5-4690K,4,3.5,3.9,Haswell Refresh,88,Intel HD Graphics 4600,5.0,
587,Intel Core i7-5930K,6,3.5,3.7,Haswell,140,,,529.95
588,Intel Core i7-7820X,8,3.6,4.5,Skylake,140,,,495.03
589,Intel Core i3-4130T,2,2.9,,Haswell,35,Intel HD Graphics 4400,4.5,
590,Intel Core i3-4340,2,3.6,,Haswell,54,Intel HD Graphics 4600,4.5,92.35
591,Intel Core i5-3340,4,3.1,3.3,Ivy Bridge,77,Intel HD Graphics 2500,4.0,278.02
592,Intel Xeon E5-2687W V2,8,3.4,4,Ivy Bridge,150,,,
593,Intel Pentium G2030,2,3,,Ivy Bridge,55,Intel HD Graphics,5.0,
594,Intel Xeon E5-2650L,8,1.8,2.3,Sandy Bridge,70,,,129.94
595,Intel Xeon E5-2687W V3,10,3.1,3.5,Haswell,160,,,
596,Intel Core i5-8500,6,3,4.1,Coffee Lake,65,Intel UHD Graphics 630,,
597,Intel Core i9-9900X,10,3.5,4.4,Skylake,165,,5.0,
598,Intel Core i3-3250,2,3.5,,Ivy Bridge,55,Intel HD Graphics 2500,5.0,90.00
599,AMD A10-9700E,4,3,3.5,Excavator,35,Radeon R7 (on-die),,132.71
600,Intel Core i9-7960X,16,2.8,4.4,Skylake,165,,,
601,Intel Celeron 420,1,1.6,,Core,35,,,
602,AMD Phenom II X6 1055T,6,2.8,,K10,125,,4.0,
603,AMD Phenom II X4 955,4,3.2,,K10,125,,4.5,
604,Intel Xeon E3-1240 V3,4,3.4,3.8,Haswell,80,,4.5,
605,AMD A8-7650K,4,3.3,3.7,Steamroller,95,Radeon R7 (on-die),5.0,
606,Intel Core i5-4460S,4,2.9,3.4,Haswell Refresh,65,Intel HD Graphics 4000,,
607,Intel Core i7-7740X,4,4.3,4.5,Kaby Lake,112,,,215.57
608,Intel Core i3-9300,4,3.7,4.3,Coffee Lake Refresh,62,Intel UHD Graphics 630,,299.95
609,AMD Athlon 3000G (14nm),2,3.5,,Zen,35,Radeon Vega 3,,
610,Intel Core i5-10600K,6,4.1,4.8,Comet Lake,125,Intel UHD Graphics 630,,
611,AMD A10-5800K,4,3.8,,Piledriver,100,Radeon HD 7660D,,82.51
612,Intel Core i7-870,4,2.93,,Nehalem,95,,5.0,195.02
613,Intel Core i7-930,4,2.8,,Nehalem,130,,4.5,148.72
614,Intel Xeon E-2286G,6,4,4.9,Coffee Lake Refresh,95,Intel HD Graphics P630,,815.10
615,Intel Core i9-9960X,16,3.1,4.4,Skylake,165,,,
616,AMD Athlon II X4 640,4,3,,K10,95,,4.5,74.79
617,AMD A8-3870K,4,3,,Lynx,100,Radeon HD 6550D,3.0,
618,AMD FX-4300,4,3.8,,Piledriver,95,,5.0,
619,Intel Xeon E5-2698 V3,16,2.3,3.6,Haswell,135,,,
620,Intel Xeon E3-1275 V2,4,3.5,,Ivy Bridge,77,Intel HD Graphics P4000,,374.00
621,Intel Core i5-3570S,4,3.1,3.8,Ivy Bridge,65,Intel HD Graphics 2500,,
622,AMD Threadripper 2970WX,24,3,4.2,Zen+,250,,,
623,Intel Core i5-9500,6,3,4.4,Coffee Lake Refresh,65,Intel UHD Graphics 630,,
624,Intel Core i5-4590T,4,2,,Haswell Refresh,35,Intel HD Graphics 4000,,
625,Intel Core i3-2100T,2,2.5,,Sandy Bridge,35,Intel HD Graphics 2000,4.0,82.39
626,Intel Celeron G4920,2,3.2,,Coffee Lake,65,Intel UHD Graphics 610,,73.00
627,Intel Pentium E2140,2,1.6,,Core,65,,,79.95
628,AMD Athlon II X4 645,4,3.1,,K10,95,,4.5,59.99
629,Intel Pentium E5800,2,3.2,,Wolfdale,65,,,
630,Intel Core i5-3350P,4,3.1,,Ivy Bridge,69,,4.5,
631,AMD A4-5300,2,3.4,,Piledriver,65,Radeon HD 7480D,4.0,
632,Intel Xeon E3-1220 V3,4,3.1,3.5,Haswell,80,,4.5,149.94
633,Intel Xeon E5-2630L V3,8,1.8,2.9,Haswell,55,,,410.00
634,Intel Core i5-6400T,4,2.2,2.8,Skylake,35,Intel HD Graphics 530,,
635,AMD FX-8350,8,4,,Piledriver,125,,4.5,
636,Intel Pentium G4600,2,3.6,,Kaby Lake,51,Intel HD Graphics 630,4.5,
637,Intel Core i3-7350K,2,4.2,,Kaby Lake,60,Intel HD Graphics 630,4.5,
638,Intel Core i9-7900X,10,3.3,4.5,Skylake,140,,,449.95
639,Intel Xeon E3-1265L V3,4,2.5,3.7,Haswell,45,Intel HD Graphics,5.0,398.95
640,Intel Xeon E3-1245 V6,4,3.7,4.1,Kaby Lake,73,Intel HD Graphics P630,5.0,345.29
641,AMD Athlon II X4 635,4,2.9,,K10,95,,,58.02
642,Intel Core i3-6098P,2,3.6,,Skylake,54,Intel HD Graphics 510,4.0,59.00
643,AMD Sempron 140,1,2.7,,K10,45,,,
644,Intel Core i3-2130,2,3.4,,Sandy Bridge,65,Intel HD Graphics 2000,5.0,40.49
645,AMD FX-4100,4,3.6,,Bulldozer,95,,4.0,
646,Intel Xeon E5-2695 V2,12,2.4,3.2,Ivy Bridge,115,,,
647,AMD A6-9500,2,3.5,3.8,Excavator,65,Radeon R5 (on die),4.0,
648,AMD Athlon X4 760K,4,3.8,4.1,Piledriver,100,,4.0,
649,Intel Xeon E5-2680 V2,10,2.8,3.6,Ivy Bridge,115,,,
650,AMD Opteron 6378,16,2.4,3.3,Piledriver,115,,,
651,AMD Threadripper 2990WX,32,3,4.2,Zen+,250,,,
652,Intel Xeon E-2278G,8,3.4,5,Coffee Lake Refresh,80,Intel HD Graphics P630,,
653,Intel Pentium Gold G6605,2,4.3,,Comet Lake,58,Intel UHD Graphics 630,,308.62
654,Intel Core i9-10900K,10,3.7,5.3,Comet Lake,125,Intel UHD Graphics 630,,
655,Intel Xeon E5-2470V2,10,2.4,3.2,Ivy Bridge,95,,,229.95
656,Intel Core i7-875K,4,2.93,,Nehalem,95,,5.0,180.00
657,Intel Core 2 Quad Q8400,4,2.66,,Yorkfield,95,,,84.95
658,Intel Xeon E-2274G,4,4,4.9,Coffee Lake Refresh,83,Intel HD Graphics P630,,1098.95
659,AMD Athlon II X2 250,2,3,,K10,65,,4.0,
660,AMD Phenom II X4 940 Black,4,3,,K10,125,,,
661,Intel Core i7-4771,4,3.5,3.9,Haswell,84,Intel HD Graphics 4600,4.5,
662,Intel Xeon E3-1271 V3,4,3.6,4,Haswell Refresh,80,,5.0,
663,Intel Xeon E5-2643 V2,6,3.5,3.8,Ivy Bridge,130,,,398.95
664,Intel Core i5-7400T,4,2.4,3,Kaby Lake,35,Intel HD Graphics 630,,78.02
665,AMD Ryzen 7 1800X,8,3.6,4,Zen,95,,4.0,
666,Intel Core i9-7940X,14,3.1,4.4,Skylake,165,,5.0,
667,Intel Core i5-3570,4,3.4,,Ivy Bridge,77,Intel HD Graphics 2500,4.0,
668,Intel Xeon E-2124,4,3.3,4.3,Coffee Lake,71,,4.0,
669,Intel Xeon E-2236,6,3.4,4.8,Coffee Lake Refresh,80,,,431.00
670,Intel Core i7-980,6,3.333,,Westmere,130,,5.0,356.02
671,Intel Core 2 Quad Q6600,4,2.4,,Core,100,,3.5,94.97
672,Intel Core i3-540,2,3.06,,Westmere,73,Intel HD Graphics,5.0,103.97
673,Intel Core i3-550,2,3.2,,Westmere,73,Intel HD Graphics,5.0,
674,Intel Xeon E3-1225 V3,4,3.2,3.6,Haswell,84,Intel HD Graphics P4600,,
675,Intel Xeon E5-2670 V2,10,2.5,3.3,Ivy Bridge,115,,4.0,
676,Intel Xeon E5-2650L V2,10,1.7,2.1,Ivy Bridge,70,,,
677,Intel Xeon E3-1270 V2,4,3.5,,Ivy Bridge,69,,,
678,Intel Xeon E3-1220 V5,4,3,3.5,Skylake,80,,,349.95
679,AMD Athlon X4 845,4,3.5,3.8,Puma+,65,,4.0,
680,Intel Core i7-7700T,4,2.9,3.8,Kaby Lake,35,Intel HD Graphics 630,,
681,Intel Xeon E3-1230 V6,4,3.5,3.9,Kaby Lake,72,,5.0,
682,AMD Threadripper 2950X,16,3.5,4.4,Zen+,180,,,
683,AMD Athlon 220GE,2,3.4,,Zen,35,Radeon Vega 3,4.5,
684,AMD FX-8370E,8,3.3,4.3,Piledriver,95,,,212.02
685,Intel Core i3-10320,4,3.8,4.6,Comet Lake,65,Intel UHD Graphics 630,,137.99
686,Intel Celeron E1400,2,2,,Core,65,,,
687,Intel Core i7-6800K,6,3.4,3.6,Broadwell,140,,,249.95
688,Intel Celeron 430,1,1.8,,Core,35,,,59.95
689,Intel Core 2 Quad Q8200,4,2.33,,Yorkfield,95,,4.0,
690,Intel Core 2 Quad Q9300,4,2.5,,Yorkfield,95,,,219.00
691,Intel Celeron G1610,2,2.6,,Ivy Bridge,55,Intel HD Graphics,4.5,49.00
692,AMD A8-6500,4,3.5,,Piledriver,65,Radeon HD 8570D,,
693,Intel Core i7-4790K,4,4,4.4,Haswell Refresh,88,Intel HD Graphics 4600,5.0,
694,Intel Xeon E5-2650L V3,12,1.8,2.5,Haswell,65,,,
695,AMD Athlon X4 880K,4,4,4.2,Steamroller,95,,4.0,
696,Intel Core i9-9900T,8,2.1,4.4,Coffee Lake Refresh,35,Intel UHD Graphics 630,,
