title,core_count,performance_core_clock,performance_core_boost_clock,microarchitecture,tdp,integrated_graphics,rating,price
Intel Core i7-8700K,6,3.7,4.7,Coffee Lake,95,Intel UHD Graphics 630,4.5,170.0
Intel Core i9-12900KF,16,3.2,5.2,Alder Lake,125,,4.5,269.94
Intel Core i5-12400,6,2.5,4.4,Alder Lake,65,Intel UHD Graphics 730,4.5,143.55
AMD Ryzen 5 3600X,6,3.8,4.4,Zen 2,95,,4.5,176.99
Intel Pentium E2220,2,2.4,,Core,65,,,12.99
Intel Core i9-9900K,8,3.6,5,Coffee Lake Refresh,95,Intel UHD Graphics 630,4.5,360.0
AMD Ryzen 7 2700X,8,3.7,4.3,Zen+,105,,4.5,185.0
AMD Ryzen 5 3400G,4,3.7,4.2,Zen+,65,Radeon Vega 11,4.5,102.0
AMD Ryzen 9 3900X,12,3.8,4.6,Zen 2,105,,4.5,345.0
Intel Core Ultra 5 245K,14,4.2,5.2,Arrow Lake,125,Intel Xe,,269.99
Intel Core i3-14100F,4,3.5,4.7,Raptor Lake Refresh,58,,,90.07
Intel Core i7-7700K,4,4.2,4.5,Kaby Lake,91,Intel HD Graphics 630,4.5,151.69
Intel Core i7-10700K,8,3.8,5.1,Comet Lake,125,Intel UHD Graphics 630,4.5,304.99
Intel Core i7-13700KF,16,3.4,5.4,Raptor Lake,125,,4.5,299.0
Intel Core i7-6700K,4,4,4.2,Skylake,91,Intel HD Graphics 530,4.5,137.66
Intel Core i5-13400,10,2.5,4.6,Raptor Lake,65,Intel UHD Graphics 730,4.5,160.97
AMD Ryzen 7 3800X,8,3.9,4.5,Zen 2,105,,4.5,265.0
AMD Ryzen 9 7900X3D,12,4.4,5.6,Zen 4,120,Radeon,4.5,
Intel Core Ultra 7 265KF,20,3.9,5.5,Arrow Lake,125,,,318.56
AMD Ryzen 3 4100,4,3.8,4,Zen 2,65,,3.5,68.0
Intel Core i5-14400,10,2.5,4.7,Raptor Lake Refresh,65,Intel UHD Graphics 730,5.0,176.99
Intel Core i5-9400F,6,2.9,4.1,Coffee Lake Refresh,65,,4.0,105.0
Intel Core i3-13100F,4,3.4,4.5,Raptor Lake,58,,4.5,85.19
AMD Ryzen 9 5900XT,16,3.3,4.8,Zen 3,105,,5.0,283.33
Intel Core i9-13900KF,24,3,5.8,Raptor Lake,125,,4.5,369.0
Intel Core i3-12100,4,3.3,4.3,Alder Lake,60,Intel UHD Graphics 730,4.5,113.58
AMD Threadripper 3970X,32,3.7,4.5,Zen 2,280,,5.0,1800.0
Intel Core i5-11400F,6,2.6,4.4,Rocket Lake,65,,4.5,204.27
Intel Core i5-9600K,6,3.7,4.6,Coffee Lake Refresh,95,Intel UHD Graphics 630,4.5,130.0
AMD Ryzen 5 2600X,6,3.6,4.2,Zen+,95,,4.5,
Intel Core i7-11700K,8,3.6,5,Rocket Lake,125,Intel UHD Graphics 750,4.5,298.99
Intel Core i3-14100,4,3.5,4.7,Raptor Lake Refresh,60,Intel UHD Graphics 730,,119.97
AMD Ryzen 5 5600XT,6,3.7,4.7,Zen 3,65,,,129.99
Intel Core i7-8700,6,3.2,4.6,Coffee Lake,65,Intel UHD Graphics 630,4.5,149.95
Intel Core i7-13700F,16,2.1,5.2,Raptor Lake,65,,4.5,255.0
Intel Core i7-12700F,12,2.1,4.9,Alder Lake,65,,4.5,235.95
AMD Ryzen 5 4600G,6,3.7,4.2,Zen 2,65,Radeon Vega 7,4.5,
Intel Core i5-10400,6,2.9,4.3,Comet Lake,65,Intel UHD Graphics 630,4.5,128.99
AMD Ryzen 5 5500GT,6,3.6,4.4,Zen 3,65,Radeon Vega 7,4.5,163.0
Intel Core i9-10900K,10,3.7,5.3,Comet Lake,125,Intel UHD Graphics 630,4.5,549.99
Intel Core i7-7700,4,3.6,4.2,Kaby Lake,65,Intel HD Graphics 630,4.5,245.28
Intel Core i5-8400,6,2.8,4,Coffee Lake,65,Intel UHD Graphics 630,4.5,71.26
Intel Core i5-6500,4,3.2,3.6,Skylake,65,Intel HD Graphics 530,4.5,87.13
Intel Core Ultra 5 235,14,3.4,5,Arrow Lake,65,Intel Xe,,230.0
Intel Core i3-10100F,4,3.6,4.3,Comet Lake,65,,4.5,94.84
AMD Ryzen 5 3500X,6,3.6,4.1,Zen 2,65,,4.5,
Intel Core i7-4790K,4,4,4.4,Haswell Refresh,88,Intel HD Graphics 4600,4.5,
Intel Core i7-10700F,8,2.9,4.8,Comet Lake,65,,4.5,249.0
AMD Ryzen 5 9600,6,3.8,5.2,Zen 5,65,Radeon,,259.94
AMD Ryzen 9 3950X,16,3.5,4.7,Zen 2,105,,4.5,665.0
Intel Core i9-11900K,8,3.5,5.3,Rocket Lake,125,Intel UHD Graphics 750,4.0,449.0
AMD Ryzen 7 7800X3D,8,4.2,5,Zen 4,120,Radeon,,492.79
AMD Ryzen 3 3100,4,3.6,3.9,Zen 2,65,,4.5,87.44
Intel Core i7-6700,4,3.4,4,Skylake,65,Intel HD Graphics 530,4.5,123.0
Intel Core Ultra 5 225F,10,3.3,4.9,Arrow Lake,65,,,207.0
Intel Core i5-13500,14,2.5,4.8,Raptor Lake,65,Intel UHD Graphics 770,4.5,243.47
Intel Core i5-10600K,6,4.1,4.8,Comet Lake,125,Intel UHD Graphics 630,4.5,210.01
Intel Core i9-10850K,10,3.6,5.2,Comet Lake,125,Intel UHD Graphics 630,4.5,449.99
Intel Core i5-14500,14,2.6,5,Raptor Lake Refresh,65,Intel UHD Graphics 770,5.0,246.97
Intel Core i7-14700,20,2.1,5.4,Raptor Lake Refresh,65,Intel UHD Graphics 770,5.0,329.97
Intel Core i7-12700,12,2.1,4.9,Alder Lake,65,Intel UHD Graphics 770,4.0,261.13
AMD Ryzen 5 1600 (12nm),6,3.2,3.6,Zen+,65,,4.5,149.0
Intel Core i5-4690K,4,3.5,3.9,Haswell Refresh,88,Intel HD Graphics 4600,4.5,54.0
Intel Core Ultra 5 245KF,14,4.2,5.2,Arrow Lake,125,,,284.99
Intel Core i7-11700F,8,2.5,4.9,Rocket Lake,65,,4.5,229.99
AMD Threadripper 3960X,24,3.8,4.5,Zen 2,280,,4.5,1150.0
Intel Core i7-3770,4,3.4,,Ivy Bridge,77,Intel HD Graphics 4000,4.5,64.78
Intel Xeon E5-2699 V4,22,2.2,3.6,Broadwell,145,,5.0,247.0
AMD Ryzen 5 1600 (14nm),6,3.2,3.6,Zen,65,,4.5,148.0
Intel Core i5-7500T,4,2.7,3.3,Kaby Lake,35,Intel HD Graphics 630,,40.0
Intel Core i5-6600K,4,3.5,3.9,Skylake,91,Intel HD Graphics 530,4.5,80.98
Intel Core i7-4770K,4,3.5,3.9,Haswell,84,Intel HD Graphics 4600,4.5,139.0
AMD Ryzen 5 3600,6,3.6,4.2,Zen 2,65,,5.0,
Intel Core Ultra 9 285,24,2.5,5.6,Arrow Lake,65,Intel Xe,,519.0
Intel Core i7-9700,8,3,4.7,Coffee Lake Refresh,65,Intel HD Graphics 630,5.0,210.54
Intel Core i5-8600K,6,3.6,4.3,Coffee Lake,95,Intel UHD Graphics 630,4.5,121.47
AMD Ryzen 7 2700,8,3.2,4.1,Zen+,65,,4.5,170.0
AMD Ryzen 5 3500,6,3.6,4.1,Zen 2,65,,5.0,
Intel Core i5-11400,6,2.6,4.4,Rocket Lake,65,Intel UHD Graphics 730,4.5,191.48
Intel Core i7-10700,8,2.9,4.8,Comet Lake,65,Intel UHD Graphics 630,4.5,646.28
Intel Core i5-12500,6,3,4.6,Alder Lake,65,Intel UHD Graphics 770,4.5,179.97
Intel Core Ultra 5 225,10,3.3,4.9,Arrow Lake,65,Intel Xe,,220.0
Intel Core i9-9900KF,8,3.6,5,Coffee Lake Refresh,95,,4.5,285.0
Intel Core i5-3470,4,3.2,,Ivy Bridge,77,Intel HD Graphics 2500,4.5,32.39
Intel Core i9-13900KS,24,3,6,Raptor Lake,150,Intel UHD Graphics 770,4.5,429.0
Intel Core i9-12900KS,16,3.4,5.5,Alder Lake,150,Intel UHD Graphics 770,4.5,399.99
Intel Core i3-9100F,4,3.6,4.2,Coffee Lake Refresh,65,,4.5,129.0
Intel Core i5-7400,4,3,3.5,Kaby Lake,65,Intel HD Graphics 630,4.0,69.7
AMD EPYC 4564P,16,4.5,5.7,Zen 4,170,Radeon,,699.99
Intel Core i7-4790,4,3.6,4,Haswell Refresh,84,Intel HD Graphics 4600,5.0,139.94
Intel Core i5-7500,4,3.4,3.8,Kaby Lake,65,Intel HD Graphics 630,4.5,53.45
Intel Core i3-4150,2,3.5,,Haswell Refresh,54,Intel HD Graphics 4400,4.5,35.0
Intel Core i9-7980XE,18,2.6,4.4,Skylake,165,,4.0,
AMD Ryzen 7 1700,8,3,3.7,Zen,65,,4.5,173.56
Intel Core Ultra 7 265,20,2.4,5.3,Arrow Lake,65,Intel Xe,,374.99
AMD Ryzen 3 2200G,4,3.5,3.7,Zen,65,Radeon Vega 8,4.5,
Intel Xeon E5-2680 V4,14,2.4,3.3,Broadwell,120,,4.0,1975.0
Intel Core i5-10600KF,6,4.1,4.8,Comet Lake,125,,5.0,
Intel Core i5-11600K,6,3.9,4.9,Rocket Lake,125,Intel UHD Graphics 750,4.5,239.0
Intel Core i7-10700KF,8,3.8,5.1,Comet Lake,125,,4.5,304.02
AMD Ryzen 5 2400G,4,3.6,3.9,Zen,65,Radeon Vega 11,4.5,209.79
Intel Core i7-9700F,8,3,4.7,Coffee Lake Refresh,65,,5.0,259.0
Intel Core i3-13100,4,3.4,4.5,Raptor Lake,60,Intel UHD Graphics 730,5.0,120.0
AMD 2650,2,1.45,,Jaguar,25,Radeon HD 8240,4.5,122.52
AMD Ryzen 7 3700X,8,3.6,4.4,Zen 2,65,,5.0,
Intel Core i3-10100,4,3.6,4.3,Comet Lake,65,Intel UHD Graphics 630,4.5,100.75
AMD Ryzen 7 1700X,8,3.4,3.8,Zen,95,,4.5,428.88
AMD Athlon 3000G (14nm),2,3.5,,Zen,35,Radeon Vega 3,4.5,98.79
Intel Core i7-13700,16,2.1,5.2,Raptor Lake,65,Intel UHD Graphics 770,4.5,319.93
AMD Ryzen 5 1600X,6,3.6,4,Zen,95,,4.5,199.59
AMD Ryzen 5 3600XT,6,3.8,4.5,Zen 2,95,,4.5,609.9
Intel Core i3-8100,4,3.6,,Coffee Lake,65,Intel UHD Graphics 630,4.0,99.0
Intel Core i5-8500,6,3,4.1,Coffee Lake,65,Intel UHD Graphics 630,4.5,139.0
Intel Core i5-4590,4,3.3,3.7,Haswell Refresh,84,Intel HD Graphics 4600,4.5,
AMD Ryzen 9 3900XT,12,3.8,4.7,Zen 2,105,,4.5,
AMD A4-6300,2,3.7,3.9,Piledriver,65,Radeon HD 8370D,4.0,46.79
Intel Core i3-10105F,4,3.7,4.4,Comet Lake,65,,4.5,69.98
Intel Core i5-7600K,4,3.8,4.2,Kaby Lake,91,Intel HD Graphics 630,4.5,113.37
AMD FX-8350,8,4,,Piledriver,125,,4.5,
Intel Core i9-11900KF,8,3.5,5.3,Rocket Lake,125,,4.0,345.0
Intel Core i5-9400,6,2.9,4.1,Coffee Lake Refresh,65,Intel UHD Graphics 630,4.5,149.0
Intel Core i7-6800K,6,3.4,3.6,Broadwell,140,,4.5,72.98
Intel Core i7-4770,4,3.4,3.9,Haswell,84,Intel HD Graphics 4600,4.5,177.0
Intel Core i7-3770K,4,3.5,,Ivy Bridge,77,Intel HD Graphics 4000,4.5,97.17
AMD Ryzen 3 1200 (14nm),4,3.1,3.4,Zen,65,,4.5,89.8
Intel Core i7-6950X,10,3,3.5,Broadwell,140,,,
AMD Ryzen 5 5600X3D,6,3.3,4.4,Zen 3,105,,4.5,
AMD Threadripper 2920X,12,3.5,4.3,Zen+,180,,5.0,
Intel Core i7-11700KF,8,3.6,5,Rocket Lake,125,,4.5,294.57
AMD Ryzen 5 5600T,6,3.5,4.5,Zen 3,65,,,153.94
Intel Core i7-9700KF,8,3.6,4.9,Coffee Lake Refresh,95,,5.0,225.0
Intel Core i9-14900F,24,2,5.8,Raptor Lake Refresh,65,,,559.97
Intel Core Ultra 7 265F,20,2.4,5.3,Arrow Lake,65,,,369.99
Intel Core i5-2400,4,3.1,,Sandy Bridge,95,Intel HD Graphics 2000,4.5,32.39
AMD Athlon 200GE,2,3.2,,Zen,35,Radeon Vega 3,4.5,69.98
Intel Core i5-4460,4,3.2,3.4,Haswell Refresh,84,Intel HD Graphics 4600,4.5,68.56
Intel Xeon E5-2687W V4,12,3,3.5,Broadwell,160,,,2282.01
AMD Ryzen 5 1400,4,3.2,3.4,Zen,65,,4.5,
Intel Core i3-7100,2,3.9,,Kaby Lake,51,Intel HD Graphics 630,4.0,50.23
Intel Core i5-4690,4,3.5,3.9,Haswell Refresh,84,Intel HD Graphics 4600,4.5,52.0
Intel Core i7-11700,8,2.5,4.9,Rocket Lake,65,Intel UHD Graphics 750,4.5,391.25
Intel Core i5-9600KF,6,3.7,4.6,Coffee Lake Refresh,95,,4.5,225.86
AMD Ryzen 3 3300X,4,3.8,4.3,Zen 2,65,,4.5,148.99
AMD A6-6400K,2,3.9,,Piledriver,65,Radeon HD 8470D,4.5,
Intel Core i9-14900,24,2,5.8,Raptor Lake Refresh,65,Intel UHD Graphics 770,,560.0
Intel Core i9-7920X,12,2.9,4.4,Skylake,140,,,314.81
AMD Ryzen 7 3800XT,8,3.9,4.7,Zen 2,105,,4.5,399.99
Intel Core i7-8700K,6,3.7,4.7,Coffee Lake,95,Intel UHD Graphics 630,5.0,255.04
Intel Core i9-9900KS,8,4,5,Coffee Lake Refresh,127,Intel UHD Graphics 630,4.5,1389.0
Intel Core i5-4570,4,3.2,,Haswell,84,Intel HD Graphics 4600,4.5,98.0
Intel Core i3-10305,4,3.8,4.5,Comet Lake,65,Intel UHD Graphics 630,,69.99
AMD Ryzen 7 1800X,8,3.6,4,Zen,95,,4.5,404.34
Intel Core i5-6400,4,2.7,3.3,Skylake,65,Intel HD Graphics 530,4.5,
Intel Celeron G6900,2,3.4,,Alder Lake,46,Intel UHD Graphics 710,4.0,91.96
Intel Core i7-2600,4,3.4,,Sandy Bridge,95,Intel HD Graphics 2000,4.5,
AMD FX-6300,6,3.5,,Piledriver,95,,4.5,
Intel Core i3-9100,4,3.6,4.2,Coffee Lake Refresh,65,Intel UHD Graphics 630,4.5,59.99
Intel Core i5-10500,6,3.1,4.5,Comet Lake,65,Intel UHD Graphics 630,,229.95
AMD Athlon II X2 240,2,2.8,,K10,65,,,29.48
Intel Core i7-4790K,4,4,4.4,Haswell Refresh,88,Intel HD Graphics 4600,4.0,121.47
Intel Core i5-7600,4,3.5,4.1,Kaby Lake,65,Intel HD Graphics 630,4.5,67.06
Intel Core i9-10980XE,18,3,4.8,Cascade Lake,165,,,
Intel Core i9-10920X,12,3.5,4.8,Cascade Lake,165,,5.0,500.33
Intel Core i5-11600KF,6,3.9,4.9,Rocket Lake,125,,4.5,552.27
AMD Ryzen 5 1500X,4,3.5,3.7,Zen,65,,4.5,248.9
Intel Pentium Gold G7400,2,3.7,,Alder Lake,46,Intel UHD Graphics 710,,98.0
Intel Core i9-10900KF,10,3.7,5.3,Comet Lake,125,,4.5,
Intel Core i3-6100,2,3.7,,Skylake,51,Intel HD Graphics 530,4.5,71.73
Intel Core i3-4130,2,3.4,,Haswell,54,Intel HD Graphics 4400,4.5,41.0
Intel Pentium E5700,2,3,,Wolfdale,65,,,14.99
Intel Core 2 Duo E8400,2,3,,Wolfdale,65,,4.5,27.55
Intel Xeon E3-1220 V6,4,3,3.5,Kaby Lake,72,,,25.0
AMD Threadripper 2990WX,32,3,4.2,Zen+,250,,4.5,
Intel Core i5-6600,4,3.3,3.9,Skylake,65,Intel HD Graphics 530,4.5,
Intel Core i9-13900,24,2,5.6,Raptor Lake,65,Intel UHD Graphics 770,4.5,604.0
Intel Xeon E5-2640 V3,8,2.6,3.4,Haswell,90,,4.0,
Intel Celeron 420,1,1.6,,Core,35,,,69.95
AMD Ryzen 5 7600X3D,6,4.1,4.7,Zen 4,65,Radeon,,
Intel Core i5-9500,6,3,4.4,Coffee Lake Refresh,65,Intel UHD Graphics 630,5.0,145.0
Intel Core i7-2600K,4,3.4,,Sandy Bridge,95,Intel HD Graphics 3000,4.5,77.73
AMD Threadripper 1950X,16,3.4,4,Zen,180,,4.5,624.95
AMD Ryzen 9 PRO 7945,12,3.7,5.4,Zen 4,65,Radeon,,
Intel Core i5-3570K,4,3.4,,Ivy Bridge,77,Intel HD Graphics 4000,4.5,139.0
Intel Core i9-10900F,10,2.8,5.2,Comet Lake,65,,4.5,
Intel Core i3-10105,4,3.7,4.4,Comet Lake,65,Intel UHD Graphics 630,4.5,93.59
Intel Core i5-4670K,4,3.4,,Haswell,84,Intel HD Graphics 4600,4.5,105.86
Intel Core i5-2500K,4,3.3,,Sandy Bridge,95,Intel HD Graphics 3000,4.5,48.59
Intel Core i5-9400F,6,2.9,4.1,Coffee Lake Refresh,65,,5.0,
Intel Core i7-8700,6,3.2,4.6,Coffee Lake,65,Intel UHD Graphics 630,5.0,
Intel Core i9-9900K,8,3.6,5,Coffee Lake Refresh,95,Intel UHD Graphics 630,4.5,954.81
Intel Pentium G640,2,2.8,,Sandy Bridge,65,Intel HD Graphics,4.0,30.75
Intel Core i7-5820K,6,3.3,3.6,Haswell,140,,4.5,
Intel Core i7-6900K,8,3.2,3.7,Broadwell,140,,4.5,125.0
Intel Core i5-8600,6,3.1,4.3,Coffee Lake,65,Intel UHD Graphics 630,5.0,113.37
Intel Core i9-9940X,14,3.3,4.4,Skylake,165,,,1950.0
AMD Ryzen 5 3600,6,3.6,4.2,Zen 2,65,,5.0,
Intel Core i5-12600,6,3.3,4.8,Alder Lake,65,Intel UHD Graphics 770,4.5,271.99
Intel Xeon E5-2690 V4,14,2.6,3.5,Broadwell,135,,5.0,
Intel Core i9-12900F,16,2.4,5.1,Alder Lake,65,,,359.89
AMD Ryzen 9 3900X,12,3.8,4.6,Zen 2,105,,5.0,
Intel Core i5-8400,6,2.8,4,Coffee Lake,65,Intel UHD Graphics 630,5.0,198.95
Intel Core i3-7100T,2,3.4,,Kaby Lake,35,Intel HD Graphics 630,5.0,44.53
Intel Core i5-3570,4,3.4,,Ivy Bridge,77,Intel HD Graphics 2500,4.5,
Intel Core i5-11600,6,2.8,4.8,Rocket Lake,65,Intel UHD Graphics 750,5.0,140.0
AMD Athlon X2 340,2,3.2,,Piledriver,65,,,
Intel Core i7-4790,4,3.6,4,Haswell Refresh,84,Intel HD Graphics 4600,4.5,
AMD FX-6350,6,3.9,,Piledriver,125,,4.0,
Intel Core i9-7900X,10,3.3,4.5,Skylake,140,,4.5,
Intel Xeon E5-1630 V4,4,3.7,4,Broadwell,140,,,229.95
Intel Core i7-7700,4,3.6,4.2,Kaby Lake,65,Intel HD Graphics 630,4.0,121.47
Intel Core i7-4960X Extreme Edition,6,3.6,4,Ivy Bridge,130,,5.0,775.04
AMD EPYC 4244P,6,3.8,5.1,Zen 4,65,Radeon,,238.99
Intel Core i7-9700K,8,3.6,4.9,Coffee Lake Refresh,95,Intel UHD Graphics 630,5.0,
AMD EPYC 4464P,12,3.7,5.4,Zen 4,65,Radeon,,479.99
Intel Core i5-11500,6,2.7,4.6,Rocket Lake,65,Intel UHD Graphics 750,4.5,335.28
AMD Threadripper 1920X,12,3.5,4,Zen,180,,4.5,250.0
Intel Core i3-12100T,4,2.2,4.1,Alder Lake,35,Intel UHD Graphics 730,,
Intel Pentium G4400,2,3.3,,Skylake,54,Intel HD Graphics 510,4.0,30.99
AMD Threadripper 2970WX,24,3,4.2,Zen+,250,,,894.99
Intel Core i7-8086K,6,4,5,Coffee Lake,95,Intel UHD Graphics 630,4.5,
Intel Core i9-10900X,10,3.7,4.7,Cascade Lake,165,,5.0,809.98
Intel Xeon E5-2620,6,2,,Sandy Bridge,95,,,36.75
Intel Celeron G5900,2,3.4,,Comet Lake,58,Intel UHD Graphics 610,5.0,67.98
Intel Core i9-12900,16,2.4,5.1,Alder Lake,65,Intel UHD Graphics 770,,442.28
AMD Ryzen 5 5600XT,6,3.7,4.7,Zen 3,65,,,
Intel Core i9-13900T,24,1.1,5.3,Raptor Lake,35,Intel UHD Graphics 770,5.0,
Intel Celeron G5925,2,3.6,,Comet Lake,58,Intel UHD Graphics 610,,59.99
Intel Pentium Gold G6400,2,4,,Comet Lake,58,Intel UHD Graphics 610,5.0,73.95
Intel Core i9-9900,8,3.1,5,Coffee Lake Refresh,65,Intel UHD Graphics 630,4.5,
AMD FX-9590,8,4.7,5,Piledriver,220,,4.5,292.58
Intel Core i7-4770S,4,3.1,,Haswell,65,Intel HD Graphics 4600,4.5,99.0
Intel Core i5-6500,4,3.2,3.6,Skylake,65,Intel HD Graphics 530,,149.94
Intel Core i9-13900F,24,2,5.6,Raptor Lake,65,,,
Intel Core i5-8500T,6,2.1,3.5,Coffee Lake,35,Intel UHD Graphics 630,5.0,125.0
Intel Core i3-6300,2,3.8,,Skylake,51,Intel HD Graphics 530,4.5,32.39
Intel Xeon E5-2650 V4,12,2.2,2.9,Broadwell,105,,,
Intel Core i7-7700K,4,4.2,4.5,Kaby Lake,91,Intel HD Graphics 630,,
Intel Core i7-7820X,8,3.6,4.5,Skylake,140,,4.5,1208.32
Intel Celeron E3400,2,2.6,,Wolfdale,65,,,18.98
Intel Core i9-10900,10,2.8,5.2,Comet Lake,65,Intel UHD Graphics 630,4.5,410.0
